ID_REF,VALUE,Ratio,Flagged?,INV_VALUE
YOR276W,0.19343,0.64057,FALSE,-0.19343
YKR036C,-0.07416,1.1862,FALSE,0.07416
YNL288W,0.18933,0.64665,FALSE,-0.18933
YER048C,-0.02632,1.06248,FALSE,0.02632
YFL029C,0.00128,0.99705,FALSE,-0.00128
YPL048W,0.11535,0.76675,FALSE,-0.11535
YEL063C,0.05641,0.87819,FALSE,-0.05641
YKL007W,-0.22859,1.69272,FALSE,0.22859
YIL034C,-0.26828,1.85474,FALSE,0.26828
YPL111W,-0.25706,1.80744,FALSE,0.25706
YLR438W,-0.13267,1.35728,FALSE,0.13267
YML042W,-0.32713,2.12388,FALSE,0.32713
YOR125C,-0.05478,1.13443,FALSE,0.05478
YMR280C,-0.01001,1.02331,FALSE,0.01001
YGR036C,0.0847,0.82282,FALSE,-0.0847
YPL178W,0.01346,0.96948,FALSE,-0.01346
YJR060W,-0.03045,1.07262,FALSE,0.03045
YGR140W,0.09687,0.80007,FALSE,-0.09687
YLR175W,0.18657,0.65077,FALSE,-0.18657
YNL161W,-0.11526,1.30394,FALSE,0.11526
YJL209W,0.07388,0.84357,FALSE,-0.07388
YHL038C,-0.01984,1.04674,FALSE,0.01984
YPL215W,0.06897,0.85316,FALSE,-0.06897
YGR174C,-0.0379,1.09119,FALSE,0.0379
YBR120C,0.0487,0.89391,FALSE,-0.0487
YIL043C,0.02344,0.94745,FALSE,-0.02344
YDL069C,0.02209,0.95041,TRUE,-0.02209
YDR197W,0.03951,0.91303,FALSE,-0.03951
YKL208W,-0.1017,1.26387,FALSE,0.1017
YER168C,0.08601,0.82034,FALSE,-0.08601
YLR220W,-0.13151,1.35366,FALSE,0.13151
YDR270W,0.11187,0.77291,FALSE,-0.11187
YKL011C,0.10283,0.78917,FALSE,-0.10283
YGR217W,-0.10473,1.27271,FALSE,0.10473
YPR025C,-0.08988,1.22993,FALSE,0.08988
YKR066C,0.174,0.66988,FALSE,-0.174
YAL021C,0.10947,0.77719,FALSE,-0.10947
YIL142W,0.05134,0.8885,FALSE,-0.05134
YJL014W,0.0709,0.84938,FALSE,-0.0709
YDL143W,0.01664,0.96241,FALSE,-0.01664
YJR064W,0.10611,0.78323,FALSE,-0.10611
YDR188W,0.08197,0.82801,FALSE,-0.08197
YJL111W,0.05537,0.8803,FALSE,-0.05537
YJL008C,0.13228,0.73743,FALSE,-0.13228
YLR110C,0.33201,0.46557,FALSE,-0.33201
YBR131W,0.00758,0.98271,FALSE,-0.00758
YLR307W,-0.08839,1.2257,FALSE,0.08839
YLR308W,-6.00E-05,1.00015,FALSE,0.00006
YDR182W,0.02504,0.94397,FALSE,-0.02504
YCR002C,0.00652,0.98511,FALSE,-0.00652
YJR076C,0.16581,0.68263,FALSE,-0.16581
YHR107C,0.09828,0.79749,FALSE,-0.09828
YLR215C,0.02004,0.9549,FALSE,-0.02004
YDL220C,-0.0965,1.24882,FALSE,0.0965
YFR028C,-0.00694,1.01611,FALSE,0.00694
YAR019C,-0.0721,1.1806,FALSE,0.0721
YKL022C,0.07324,0.84481,FALSE,-0.07324
YAL038W,0.04456,0.90249,FALSE,-0.04456
YDL102W,0.19523,0.63793,FALSE,-0.19523
YGL116W,-0.00392,1.00908,FALSE,0.00392
YOR074C,0.45376,0.35176,FALSE,-0.45376
YHR166C,-0.00735,1.01708,FALSE,0.00735
YAL041W,-0.0748,1.18795,FALSE,0.0748
YLR310C,-0.0188,1.04423,FALSE,0.0188
YFR036W,0.24842,0.56439,TRUE,-0.24842
YBL084C,0.19914,0.63221,FALSE,-0.19914
YBR160W,-0.07882,1.19901,FALSE,0.07882
YLR314C,0.09379,0.80578,FALSE,-0.09379
YOR257W,0.00691,0.98421,FALSE,-0.00691
YOL139C,-0.00581,1.01346,FALSE,0.00581
YDR054C,0.03452,0.92358,FALSE,-0.03452
YDL165W,0.04286,0.90602,FALSE,-0.04286
YDR168W,-0.20343,1.59748,FALSE,0.20343
YCR093W,0.15014,0.70772,FALSE,-0.15014
YFL009W,-0.04743,1.1154,FALSE,0.04743
YDR364C,0.05048,0.89026,FALSE,-0.05048
YLR229C,0.04418,0.90327,FALSE,-0.04418
YGL155W,-0.03399,1.08141,FALSE,0.03399
YLR103C,0.24031,0.57502,FALSE,-0.24031
YLR274W,-0.14904,1.40941,FALSE,0.14904
YBR202W,0.15501,0.69982,FALSE,-0.15501
YDL126C,-0.00525,1.01217,FALSE,0.00525
YMR001C,0.38079,0.41611,FALSE,-0.38079
YCR094W,0.02184,0.95095,FALSE,-0.02184
YDL132W,-0.05451,1.13373,FALSE,0.05451
YPR019W,0.08993,0.81296,FALSE,-0.08993
YGL190C,-0.00512,1.01187,FALSE,0.00512
YJL194W,0.37897,0.41786,FALSE,-0.37897
YPL160W,-0.13785,1.37356,FALSE,0.13785
YDL017W,0.13238,0.73725,FALSE,-0.13238
YLR418C,-0.00799,1.01858,FALSE,0.00799
YJR057W,-0.03299,1.07893,FALSE,0.03299
YDL164C,0.25386,0.55737,FALSE,-0.25386
YLR459W,-0.09199,1.23591,FALSE,0.09199
YLR245C,0.04743,0.89653,FALSE,-0.04743
YGL003C,0.01934,0.95645,FALSE,-0.01934
YBR029C,-0.01858,1.04371,FALSE,0.01858
YMR213W,-0.04379,1.1061,FALSE,0.04379
YGL130W,0.02262,0.94925,FALSE,-0.02262
YER061C,-0.08692,1.22158,FALSE,0.08692
YMR168C,-0.10823,1.28302,FALSE,0.10823
YPL228W,0.0274,0.93885,FALSE,-0.0274
YDR301W,0.07479,0.8418,FALSE,-0.07479
YLR115W,-0.02721,1.06467,FALSE,0.02721
YGL029W,0.15857,0.69412,FALSE,-0.15857
YCL064C,0.61693,0.24159,FALSE,-0.61693
YLR098C,0.08986,0.81309,FALSE,-0.08986
YGL206C,-0.07124,1.17826,FALSE,0.07124
YER164W,0.05774,0.87552,FALSE,-0.05774
YBR274W,-0.04662,1.11333,FALSE,0.04662
YPL008W,-0.00568,1.01317,FALSE,0.00568
YDR254W,-0.15564,1.43102,FALSE,0.15564
YER026C,0.05034,0.89055,FALSE,-0.05034
YGR157W,-0.16742,1.47036,FALSE,0.16742
YNL192W,-0.51704,3.28882,FALSE,0.51704
YBR038W,0.47972,0.33134,FALSE,-0.47972
YBR023C,-0.18827,1.54265,FALSE,0.18827
YLR330W,-0.07171,1.17954,FALSE,0.07171
YJL099W,-0.04442,1.1077,FALSE,0.04442
YHR142W,-0.19779,1.57687,FALSE,0.19779
YHR052W,0.12176,0.75551,FALSE,-0.12176
YMR198W,-0.86138,7.26741,FALSE,0.86138
YOR349W,-0.07601,1.19128,FALSE,0.07601
YPL241C,0.06201,0.86695,FALSE,-0.06201
YMR138W,-0.03299,1.07893,FALSE,0.03299
YOR028C,-0.13248,1.3567,FALSE,0.13248
YEL061C,0.19154,0.64336,FALSE,-0.19154
YDR022C,0.02152,0.95165,FALSE,-0.02152
YJL158C,0.53734,0.29018,FALSE,-0.53734
YNR001C,-0.36387,2.3114,FALSE,0.36387
YCR005C,-0.18248,1.52225,FALSE,0.18248
YPR001W,-0.12426,1.33125,FALSE,0.12426
YIL035C,-0.02013,1.04743,FALSE,0.02013
YOR061W,-0.03528,1.08463,FALSE,0.03528
YGL019W,-0.01909,1.04495,FALSE,0.01909
YOR039W,0.18341,0.65552,FALSE,-0.18341
YLR133W,-0.04915,1.11983,FALSE,0.04915
YBR135W,0.03238,0.92815,FALSE,-0.03238
YNL298W,0.00946,0.97845,FALSE,-0.00946
YGR108W,0.74517,0.17982,FALSE,-0.74517
